name,facility_type,latitude,longitude,utm_easting,utm_northing
Whangamata Fire Station,Fire Station,-37.20791828,175.8704816,1854735.9406978763,5878201.644817455
Onemana-Opoutere Fire Station,Fire Station,-37.15362183,175.8740748,1855237.7010164033,5884217.493906502
Tapu Fire Station,Fire Station,-36.98532327,175.5016576,1822650.1417732097,5903830.454484699
Manaia Hauraki Fire Station,Fire Station,-36.85453903,175.4812196,1821208.5651701028,5918390.023103407
Pauanui Fire Station,Fire Station,-37.0246076,175.8606907,1854480.2750053024,5898570.546183238
Tairua Volunteer Fire Brigade,Fire Station,-37.00111155,175.8483858,1853463.5071623337,5901210.812517647
Whitianga Fire Station,Fire Station,-36.83286022,175.6941269,1840261.6015343247,5920280.983119056
Cooks Beach Fire Station,Fire Station,-36.83813514,175.7424944,1844559.1195254016,5919572.84621168
Hahei Fire Station,Fire Station,-36.8409858,175.8023819,1849891.4353452036,5919101.425007131
Coromandel Fire Station,Fire Station,-36.76235321,175.4998921,1823141.1440594767,5928575.497439069
Kuaotunu Fire Station,Fire Station,-36.72224095,175.7300438,1843815.78348694,5932464.875456016
Matarangi Fire Station,Fire Station,-36.73358604,175.6617827,1837683.21985922,5931377.674810985
Whangapoua Fire Station,Fire Station,-36.71301936,175.6141096,1833487.7098103247,5933777.109505547
Kennedy Bay Fire Station,Fire Station,-36.68239951,175.548847,1827747.8301929813,5937331.806351921
Colville Fire Station,Fire Station,-36.63320345,175.4752968,1821315.564864482,5942962.716720707
Port Charles Volunteer Fire Brigade,Fire Station,-36.5436817,175.4727777,1821345.9769702773,5952901.474259611
Mayor View Volunteer Fire Brigade,Fire Station,-37.44510453,175.9635326,1862169.2580491174,5851624.448469624
Katikati Volunteer Fire Brigade,Fire Station,-37.56063271,175.9184997,1857786.5582546825,5838927.572169568
Matakana Island Fire Station,Fire Station,-37.59158993,176.075038,1871504.135033663,5835050.404462644
Omokoroa Fire Station,Fire Station,-37.6530551,176.0264102,1866989.4366270273,5828368.33512754
Kawerau Fire Station,Fire Station,-38.08283441,176.7104485,1925455.5598752587,5778489.184985915
Rotorua Fire Station,Fire Station,-38.13263109,176.2360181,1883637.4183568235,5774520.226448258
