Index,sitename,antlat,antlng,utm_easting,utm_northing
107,NTH-003-007-B,-36.066349,174.564398,280648.5604,6005946.711
108,NTH-003-008-A,-35.958613,173.86319,758220.9136,6016851.544
109,NTH-003-009-A,-35.870119,174.135374,241361.34,6026666.733
110,NTH-003-010-A,-36.188414,174.443183,270086.2548,5992123.251
111,NTH-003-011-A,-36.13691,174.11029,239974.3719,5996997.261
112,NTH-003-016-A,-35.732947,173.574101,732802.3619,6042615.695
113,NTH-003-017-A,-36.22593,174.373311,263914.7129,5987792.741
114,NTH-003-018-A,-36.151681,174.248599,252469.3376,5995720.005
115,NTH-003-019-A,-36.149153,174.292956,256453.0228,5996112.749
116,NTH-003-020-A,-36.198903,174.17046,245590.6728,5990278.104
117,NTH-003-021-A,-36.250253,174.238573,251878.711,5984757.066
118,NTH-003-022-A,-35.953923,173.755861,748553.6207,6017650.924
119,NTH-003-023-A,-35.852858,173.980229,769137.444,6028269.7
120,NTH-003-024-A,-35.813038,173.695345,743525.6855,6033434.876
121,NTH-003-025-A,-36.136247,174.58342,282554.8436,5998234.483
122,NTH-003-026-A,-36.093553,174.239628,251478.7447,6002146.758
123,NTH-003-027-A,-36.07649,173.858505,757414.2472,6003784.565
124,NTH-003-029-A,-36.116821,174.421394,267915.5029,6000014.738
125,NTH-003-030-A,-35.658786,173.639703,738958.0926,6050685.827
126,NTH-003-034-A,-35.695185,173.585369,733932.0926,6046778.401
127,NTH-003-035-A,-35.66383,173.563576,732050.6117,6050308.809
128,AKL-004-002-A,-36.776493,174.558905,282148.0594,5927142.124
129,AKL-004-003-E,-36.742733,174.613569,286933.8564,5931011.145
130,AKL-004-095-A,-36.758612,174.591585,285015.0827,5929200.096
131,AKL-004-078-A,-36.76366,174.592161,285080.6031,5928641.28
132,AKL-004-005-D,-36.685415,174.701724,294653.187,5937563.41
133,AKL-004-006-C,-36.815461,174.430811,270830.5771,5922518.698
134,AKL-004-007-B,-36.777648,174.495967,276533.5973,5926868.731
135,AKL-004-009-D,-36.603254,174.69257,293615.932,5946659.741
136,AKL-004-010-B,-36.625227,174.744567,298324.6891,5944332.311
137,AKL-004-013-A,-36.617075,174.79699,302992.15,5945345.65
138,AKL-004-096-A,-36.341814,174.733175,296565.797,5975752.773
139,AKL-004-014-B,-36.359666,174.798521,302476.2244,5973907.772
140,AKL-004-015-E,-36.290101,174.761366,298963.3339,5981549.11
141,AKL-004-016-B,-36.373181,174.610591,285648.8281,5972007.506
142,AKL-004-017-D,-36.401123,174.652988,289528.2359,5969000.651
143,AKL-004-018-A,-36.403988,174.717067,295283.0545,5968820.663
144,AKL-004-022-B,-36.292284,174.534642,278605.3296,5980811.845
145,AKL-004-028-A,-36.633164,174.577192,283378.1538,5943086.883
146,AKL-004-029-A,-36.625978,174.661639,290910.3244,5944071.52
147,AKL-004-036-C,-36.656611,174.664603,291258.1256,5940679.141
148,AKL-004-041-B,-36.586283,174.693149,293622.5076,5948543.95
149,AKL-004-075-A,-36.579579,174.678267,292272.9356,5949255.697
150,AKL-004-071-B,-36.570227,174.684308,292788.5114,5950306.363
151,AKL-004-042-B,-36.616257,174.680858,292603.0507,5945191.79
152,AKL-004-043-D,-36.626043,174.720435,296168.6855,5944190.794
153,AKL-004-044-E,-36.636441,174.747735,298637.2035,5943094.756
154,AKL-004-046-C,-36.60564,174.795756,302852.6582,5946611.829
155,AKL-004-047-D,-36.54748,174.700006,294133.0338,5952863.904
156,AKL-004-048-C,-36.631452,174.763925,300071.9807,5943682.144
157,AKL-004-050-A,-36.758756,174.60597,286299.7605,5929216.347
158,AKL-004-053-B,-36.657237,174.453381,272377.1272,5940129.1
159,AKL-004-054-B,-36.596303,174.661315,290801.1539,5947363.341
160,AKL-004-055-A,-36.631204,174.735067,297490.7426,5943649.149
161,AKL-004-076-A,-36.646658,174.73862,297848.874,5941941.996
162,AKL-004-059-A,-36.615054,174.476291,274302.1583,5944863.768
163,AKL-004-061-A,-36.272126,174.531931,278304.7834,5983042.185
164,AKL-004-062-A,-36.363164,174.715064,294996.2074,5973345.756
165,AKL-004-063-A,-36.417324,174.833968,305800.6377,5967582.786
166,AKL-004-065-A,-36.533496,174.687902,293012.1635,5954389.46
167,AKL-004-066-A,-36.482831,174.657836,290183.3141,5959945.686
168,AKL-004-067-A,-36.461198,174.653345,289722.4649,5962336.092
169,AKL-004-072-A,-36.464478,174.555086,280925.4204,5961753.206
170,AKL-004-079-A,-36.351713,174.471485,273105.0663,5974071.591
171,AKL-004-080-A,-36.188592,174.531544,278033.8705,5992309.41
172,AKL-004-081-A,-36.684641,174.515355,277996.3275,5937233.752
