name,facility_type,latitude,longitude,utm_easting,utm_northing
Ranfurly Police Station,Police station,-45.12813362,170.098791,1371850.8858519732,4998720.120178961
Riversdale Police Station,Police station,-45.90004522,168.7421909,1269724.1580857504,4908237.284453907
Riverton Police Station,Police station,-46.35259777,168.016052,1216562.7249150032,4854692.8857352175
Roxburgh Police Station,Police station,-45.54142805,169.3159812,1312394.0995568184,4950296.812643963
Southern District Headquarters,Police station,-45.8728554,170.5063282,1406469.2122403248,4917055.0422504945
Tapanui Police Station,Police station,-45.94333275,169.257649,1309932.0266288186,4905435.9466978125
Te Anau Police Station,Police station,-45.41281321,167.7209381,1186935.9462981797,4957618.141999007
Tuatapere Police Station,Police station,-46.13314719,167.6887919,1189751.5485442164,4877430.7598989615
Waikouaiti Police Station,Police station,-45.59648402,170.6723882,1418462.958818824,4948149.183367709
W?naka Police Station,Police station,-44.69535451,169.1426733,1294374.2457713622,5043649.602118864
Winton Police Station,Police station,-46.14120909,168.3255825,1238986.6376499042,4879632.890177144
Wyndham Police Station,Police station,-46.3251273,168.849398,1280509.6283687258,4861450.574863742
